epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
33,2022.13,1.54724,1.28429,1.26464,0.84183,0.50372,0.56691,0.32477,1.53931,1.20578,1.25183,0.000523586,0.000523586,0.000523586
34,2081.53,1.49596,1.24558,1.23745,0.85867,0.50994,0.56015,0.31561,1.54311,1.22514,1.24979,0.000495291,0.000495291,0.000495291
35,2142.27,1.57701,1.28108,1.25102,0.82964,0.52898,0.56468,0.31747,1.55102,1.2196,1.24929,0.000466997,0.000466997,0.000466997
36,2202.55,1.52381,1.17542,1.21804,0.83485,0.53473,0.57396,0.32432,1.54521,1.19471,1.24441,0.000438703,0.000438703,0.000438703
37,2263.69,1.50494,1.20571,1.21789,0.85621,0.52732,0.5783,0.33061,1.53646,1.17412,1.24179,0.000410409,0.000410409,0.000410409
38,2324.37,1.47291,1.19245,1.18882,0.87515,0.53048,0.59332,0.34028,1.54798,1.16833,1.24897,0.000382115,0.000382115,0.000382115
39,2384.67,1.50381,1.19655,1.21072,0.88519,0.53994,0.59265,0.34503,1.54187,1.16965,1.24704,0.00035382,0.00035382,0.00035382
40,2445.26,1.46333,1.1725,1.21331,0.87665,0.53449,0.5913,0.34498,1.5342,1.15619,1.24396,0.000325526,0.000325526,0.000325526
41,2505.34,1.47251,1.14836,1.19195,0.83022,0.55957,0.59192,0.34544,1.53462,1.13914,1.24151,0.000297232,0.000297232,0.000297232
42,2564.98,1.50943,1.22675,1.20068,0.84896,0.53712,0.59697,0.35532,1.53117,1.12203,1.23598,0.000268938,0.000268938,0.000268938
43,2624.68,1.45232,1.19726,1.18126,0.86572,0.50738,0.5971,0.35146,1.54467,1.13773,1.23649,0.000240644,0.000240644,0.000240644
44,2684.62,1.44536,1.12375,1.17548,0.87407,0.50859,0.5979,0.34795,1.55398,1.15361,1.24227,0.000212349,0.000212349,0.000212349
45,2744.15,1.48403,1.16801,1.16256,0.87179,0.51228,0.59585,0.34694,1.55142,1.15183,1.24486,0.000184055,0.000184055,0.000184055
46,2803.68,1.40986,1.12424,1.16786,0.87643,0.512,0.59699,0.34885,1.52645,1.12555,1.24069,0.000155761,0.000155761,0.000155761
